REPO_URL,TASK_ID,#HASHES,HASHES,#PROD_FILES,#TEST_FILES,LAST,MERGE,BASE
https://github.com/EFForg/action-center-platform.git,134,11,"[956f91a56454dd3414ddb99c1eb6cf13c2c2ffdb, a4b27753e087cac1355d27cf7c99f5889ab8e3ff, 7b506ee957a26bae64c2959d766ff5df237ec0b3, c42f85eba8fe325df209cfd447299b6874fcdb0d, 83d811b9f4cac3226c8cc022007bab944201dac6, 83b7796be2c09abcd5e7cab84c89139e9fe9b37d, 8df6007ec720a96bf938a4013aaa99ae36ea16e0, aaaf50500a20b41e2ee242c9b7f2260c699eeb40, 7afc91e48978568b3bca44454f1c2d2fbf1d1c51, 2a74ba0bda339b48d024c00a7f5b627ae1b91f9e, 44c41faeb572670c043eba3e01dd38e061b13288]",21,1,956f91a56454dd3414ddb99c1eb6cf13c2c2ffdb,c6a69ccad2c889a08d0ab2073d8adc3c2f648395,076e3558eaa6a07c95f167487365d09eeb60af3b
https://github.com/EFForg/action-center-platform.git,152,13,"[12779739ee7d2e3544f67e8fa1769029fb0a0edd, cb711e18231a8d38bc5ae649a947a024b5ed363f, a318da3d4fab186e0f17cc1a002d8e70a3117308, 229fa5ad4f2469fd6c4e7d6ef3c2b2b46589cca4, 8e0433a0266bcf86d11580d9e9548bb06573d9b9, 697f5ff70c7f281c1f09bb7cedf27b43a1185f6a, a3461c4110a10e7b33f03bdf4d62fb1fe898f2c7, d80e04c217363d4ce8bb163dc8c3c6fd5fd5a0a3, 2039820ad69a1ab397b01e5e73a63c7a0886a0d4, 2af9828bb106abc23b1b9af84dfbb76bcb24ced5, 11f13081e2262de73d12bae5854fb0ac1844eb43, 77a33d219b33158b8ee2d689086ca45e37fd7a2b, 5ec0b9763922137b498bac8caf618822e992a2da]",10,1,12779739ee7d2e3544f67e8fa1769029fb0a0edd,aea00b5f3d8f5bd74cd4136e056a5da679b28629,f1c40a9e4a964fe759031d93ca09b611ae58a6a3
https://github.com/EFForg/action-center-platform.git,204,5,"[ca1377bd2847e24a9041e821d3121bb3c9096d44, 6c4b16ad3929335721dad3a8e27d42bfaa057db7, fdf10a9f03e54a5b2d42fcc0b31a73bf81aaf17c, 2ba08b5a11ba59e7bf02aa540d16bb5ef6c171d5, 86f51137aff26969c47e97635e8c5292d32d06cb]",4,1,ca1377bd2847e24a9041e821d3121bb3c9096d44,5c58692329d98ba88b65d4f628f83ffd68f311c8,bcb1f40d4b0d824107caf3662bd8bd5b1f05f898
https://github.com/EFForg/action-center-platform.git,223,1,[094281b88d3d7717317002813606c3c1a9f7fa0a],3,1,094281b88d3d7717317002813606c3c1a9f7fa0a,96aba414816a3bf56269064223355489cc29f6db,c72d06d7bbf75b3f6082a0849b830a669b1be39c
https://github.com/alphagov/e-petitions.git,59,3,"[98733ab4ddc81ec81c5415014cbaf9036f75bfd5, 013465d39cdcbe7bd4ed96db5b6b05ac30baae62, e3411579c5874707ffed7c8a5ba611966bf9e4af]",5,1,98733ab4ddc81ec81c5415014cbaf9036f75bfd5,ac91cbb4421580f667c22a5bab4624d898c6c44b,721cfce6f3290e427899b9d1678e78ff249c66d2
https://github.com/alphagov/e-petitions.git,60,2,"[721cfce6f3290e427899b9d1678e78ff249c66d2, e5918b04cf611275a39dbaf5b95e21a2699f6a76]",5,1,721cfce6f3290e427899b9d1678e78ff249c66d2,3851c5ae9915b14deef2f07adba7301a0cca35e4,5bbbc683401fb7d2e6c366f14301f28a8c6269bf
https://github.com/alphagov/e-petitions.git,148,14,"[29699705f65b9d7958f87fa2aa1427b65cc8cfd3, 24efc06a4371eb0eba354b4957a79af9eb75eb5e, d585e99d2ca35360bfe3dd5e6b04883d495ac57e, c7b912d382beaf9fd07a19c2afa322b3a74b83dd, 23958ba99bb32aff504f3ec85f0f35edf55618e7, dde54cd392bc7e4320b8e732f55ddd34cbb5288d, 3580e35097d77b9147f6c264724fc2bb31f72114, de7de0bebe6409c8cd14f45be367f7513afaf836, 71772b2ebbeb6ce74581eb09fb62197ca4e4138b, aa1c3c613e761909d23ecd178867c7da028319b1, 7ef2d04ee6aed5cf0c2f8ad7b78ee4e5989ad729, f705fe10eb81dbfde49d6be49c2a1369b30db884, bceec4f91b6a333e8d4b792dd7c535f9725c6917, 9d5525dd78a51da6a0c5dfccab7dc81a5db8de03]",14,1,29699705f65b9d7958f87fa2aa1427b65cc8cfd3,27f8481ed49ca724690e09701d3488738e5f0bb9,29abb34bfb10d2a37a041cca1119715e2f5322cb
https://github.com/alphagov/e-petitions.git,149,13,"[8c4482a23d2143818eebbb9231ebecd3ab057f09, 84dc9225025f353d70ca730664f0e2463660a78a, fb88edc9ae49efd65c42f6b66dc4b64bd20c1b1d, 1514c42270a9153f9e840c52902635d7953a581b, 6727c798c0fd77546c6b7032bd4e11bd17672aad, c55ef19fd8ff24db32af2adac47c90100e69b0e9, 7736969c2e08f2da9baa79dc7be32134948dbfe0, 3451f102c64564a01b587ea49858183cf109916d, c35829cf664ea1e00411b3521be904015625e88a, 97727c2b7eb48691f357e2d6f68621aaa3fe3a9f, fac6ce7ecf7bb8ab1daa297868b49d505b1fc5ed, 0f7d92b80ef2d169cd1129fa15d5a5356bfd783e, 830df4a9506bdaede0268f2adea24715cb05adef]",14,1,8c4482a23d2143818eebbb9231ebecd3ab057f09,27f8481ed49ca724690e09701d3488738e5f0bb9,29abb34bfb10d2a37a041cca1119715e2f5322cb
https://github.com/alphagov/e-petitions.git,150,1,[046113e0c696a852fa8bfd239719d3cdbb03eb03],3,1,046113e0c696a852fa8bfd239719d3cdbb03eb03,5a768efd036bdfcded0a4724249d8d184c8e4c5b,8c093a71456bd26d157c4bc24b5717e3d4103069
https://github.com/alphagov/e-petitions.git,155,4,"[157645baabddec50d3ee08b6c190fe24d2b079c0, 6efa8218854302d9ec72bfa50ed3523e72c10f62, d2a32a9a1ade7975016de3a95d76cdaa2b54ce9f, 6f83dbc04fef86d9b72c645c7ed61ccaaa490773]",7,2,157645baabddec50d3ee08b6c190fe24d2b079c0,37220fc373c34085149ece2b166e328cd7932caf,36382a821e8a3408b61658fdb5f79c58d196f295
